0000UNIQUECOUNT     	12593
FRO57542            	175	0.046%
SNA44451            	175	0.046%
DAI32836            	173	0.045%
DAI32718            	173	0.045%
SNA53368            	171	0.045%
ELE42974            	170	0.045%
DAI43063            	169	0.044%
ELE55721            	169	0.044%
FRO32147            	169	0.044%
GRO81900            	169	0.044%
GRO12935            	169	0.044%
SNA89670            	169	0.044%
DAI41952            	168	0.044%
GRO71279            	168	0.044%
SNA88091            	168	0.044%
SNA87537            	167	0.044%
SNA17775            	167	0.044%
FRO73337            	166	0.044%
GRO75369            	166	0.044%
DAI32480            	165	0.043%
SNA36781            	165	0.043%
DAI58206            	164	0.043%
ELE56095            	164	0.043%
SNA28860            	164	0.043%
SNA38067            	164	0.043%
DAI18805            	163	0.043%
DAI14125            	163	0.043%
DAI34857            	163	0.043%
ELE54144            	163	0.043%
ELE18435            	163	0.043%
FRO90481            	163	0.043%
GRO20227            	163	0.043%
GRO75758            	163	0.043%
ELE36642            	162	0.043%
DAI54320            	160	0.042%
DAI45339            	159	0.042%
ELE27376            	159	0.042%
ELE63143            	159	0.042%
FRO62357            	159	0.042%
DAI52509            	158	0.041%
DAI49017            	158	0.041%
FRO55161            	158	0.041%
GRO96342            	158	0.041%
SNA74222            	158	0.041%
FRO66216            	157	0.041%
FRO98878            	157	0.041%
DAI39727            	156	0.041%
FRO49682            	156	0.041%
DAI11223            	155	0.041%
GRO37797            	155	0.041%
SNA59228            	155	0.041%
GRO26160            	154	0.04%
DAI56158            	153	0.04%
DAI14470            	153	0.04%
FRO52457            	153	0.04%
GRO93333            	153	0.04%
SNA92493            	153	0.04%
DAI56641            	152	0.04%
SNA40078            	152	0.04%
DAI63507            	151	0.04%
FRO47183            	151	0.04%
GRO65025            	151	0.04%
SNA67745            	151	0.04%
SNA49028            	150	0.039%
DAI94445            	149	0.039%
ELE99211            	149	0.039%
FRO91449            	149	0.039%
ELE55848            	148	0.039%
SNA56035            	148	0.039%
SNA88543            	147	0.039%
FRO33641            	146	0.038%
DAI96999            	145	0.038%
ELE20166            	145	0.038%
FRO18274            	145	0.038%
FRO65488            	145	0.038%
GRO39070            	145	0.038%
SNA29146            	145	0.038%
GRO45654            	144	0.038%
SNA41431            	144	0.038%
FRO80238            	142	0.037%
FRO44973            	142	0.037%
SNA11465            	142	0.037%
